Campaign,Ad Group,Keyword,Current match type,Action,Reason
Humanitarians AI,AI Literacy & Fluency,AI transparency,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Humanitarians AI,AI Literacy & Fluency,AI Trust,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Humanitarians AI,AI Literacy & Fluency,AI Validation,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Humanitarians AI,AI Literacy & Fluency,Large Language Models,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Humanitarians AI,AI Literacy & Fluency,prompt engineering guide,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
Humanitarians AI,AI Literacy & Fluency,AI prompt engineering,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Humanitarians AI,AI Literacy & Fluency,AI for career growth,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Humanitarians AI,AI Literacy & Fluency,Agentic AI,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Humanitarians AI,AI Literacy & Fluency,AI literacy course,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Humanitarians AI,AI Literacy & Fluency,ethical AI training,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
Humanitarians AI,AI Literacy & Fluency,human AI collaboration,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
Humanitarians AI,AI Literacy & Fluency,Computational Skepticism,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
Humanitarians AI,AI Literacy & Fluency,AI skills for graduates,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
Humanitarians AI,AI Literacy & Fluency,AI ethics for students,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
Humanitarians AI,AI Literacy & Fluency,learn AI fluency,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
AI Literacy,AI Literacy Program,ai education,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,artificial intelligence and education,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,ai teacher,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,ai schools,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,ai in learning,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,ai and education,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,ai technology in education,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,using ai in education,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,ai in teaching,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,ai teaching ai,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,ai in schools,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,use of ai in education,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,ai in teaching and learning,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,education in ai,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,ai education programs,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,artificial intelligence in teaching and learning,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,ai in education industry,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,use of artificial intelligence in education,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,ai for teachers,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,ai on education,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,education with ai,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,teaching an ai,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,ai and teaching,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,ai educator,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,ethical ai in education,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
AI Literacy,AI Literacy Program,teaching with ai,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,how work ai,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,will ai replace my job,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
AI Literacy,AI Literacy Program,ai for educators,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,ai help in education,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,how to use ai at work,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
AI Literacy,AI Literacy Program,"""how to use ai at work""",Phrase match,Keep,Already phrase match
AI Literacy,AI Literacy Program,ai to improve communication skills,Broad match,"Pause broad, add as phrase",Specific enough to keep; broad match was widening it into paid territory
AI Literacy,AI Literacy Program,communication skills in ai,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,communication skills artificial intelligence,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,artificial intelligence communication skills,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,AI Literacy Program,"""ai literacy for beginners""",Phrase match,Keep,Already phrase match
AI Literacy,AI Literacy Program,"""future proof your career with ai""",Phrase match,Keep,Already phrase match
AI Literacy,AI Literacy Program,"""ai mentorship for professionals""",Phrase match,Keep,Already phrase match
AI Literacy,AI Literacy Program,"""learn prompt engineering basics""",Phrase match,Keep,Already phrase match
AI Literacy,AI Literacy Program,"""will ai replace my job""",Phrase match,Keep,Already phrase match
AI Literacy,Ai Fluency,"""ai training""",Phrase match,Keep,Already phrase match
AI Literacy,Ai Fluency,ai training courses,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,ai courses,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,ai training,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
AI Literacy,Ai Fluency,artificial intelligence training,Broad match,Pause,Generic or expensive head term; unwinnable at a $2 cap and drags account CTR
